month,avg_close,monthly_low,monthly_high,total_volume
1980-03,2.76,2.24,3.3,5307600
1980-04,2.59,2.27,2.81,8668800
1980-05,2.76,2.42,3.21,6700800
1980-06,3.02,2.86,3.17,5402400
1980-07,3.57,3.01,4.16,9615600
1980-08,4.33,3.91,4.75,8973600
1980-09,4.76,4.18,5.82,10645200
1980-10,5.14,4.52,5.54,7485000
1980-11,6.21,4.79,7.42,7953600
1980-12,5.82,4.92,7.13,11305800
1981-01,4.66,3.9,6.04,12361800
1981-02,3.89,3.33,4.42,8506200
1981-03,4.12,3.73,4.54,6648000
1981-04,4.55,3.94,5.17,12050400
1981-05,4.54,4.19,4.83,4677000
1981-06,4.19,3.77,4.96,6568200
1981-07,3.58,3.33,3.96,4818000
1981-08,3.29,3.04,3.54,4186200
1981-09,2.84,2.33,3.17,6111600
1981-10,3.07,2.67,3.42,6019800
1981-11,3.04,2.73,3.54,4126200
1981-12,2.97,2.79,3.13,4042200
1982-01,2.86,2.58,3.33,5160000
1982-02,3.02,2.79,3.29,5763600
1982-03,3.44,2.98,3.96,11050200
1982-04,4,3.75,4.21,8983200
1982-05,4.18,3.85,4.52,8178000
1982-06,3.9,3.69,4.17,6125400
1982-07,4.24,3.75,4.54,9367800
1982-08,4.13,3.27,5.08,17880000
1982-09,4.84,4.31,5.23,12231000
1982-10,5.34,4.38,6.17,14440400
1982-11,6.15,5.47,7,8341200
1982-12,6.19,5.69,6.88,8985600
1983-01,7.76,6.06,9,19690400
1983-02,9.04,8.19,9.81,12504800
1983-03,8.65,8.06,9.56,11769600
1983-04,8.91,7.75,9.72,13498000
1983-05,11.44,9.28,13.25,13542800
1983-06,14,12.16,16.66,11454800
1983-07,15.65,13.94,17.44,9785200
1983-08,14.13,12.84,15.88,11760600
1983-09,15.41,14,16.94,13409400
1983-10,15.58,14,16.81,14278800
1983-11,15.77,13.38,17.75,11155200
1983-12,16.47,15.75,17.38,10764600
1984-01,17.21,14,18.75,18691000
1984-02,13.88,12.56,15.13,15748200
1984-03,14.42,13.19,15.88,12896600
1984-04,15.37,13.38,17.44,20023200
1984-05,16.14,14.75,17.69,15548000
1984-06,15.63,14.06,16.63,18036600
1984-07,14.5,12.56,15.81,16925200
1984-08,18.84,14.5,20.56,29320000
1984-09,18.9,17.19,20.19,18816800
1984-10,17.06,15.31,18.69,27297400
1984-11,14.77,13.31,16.19,22010200
1984-12,14.13,12.69,15.25,18267200
1985-01,16.03,13.19,18.19,25653400
1985-02,17.04,15.81,18.06,14944400
1985-03,16.01,15.06,17,17758000
1985-04,15.2,13.5,17,14843600
1985-05,14.16,13,15.13,17080800
1985-06,12.68,11.06,13.81,23443200
1985-07,13.93,12.38,15.38,19431600
1985-08,14.24,13.25,15.44,12519000
1985-09,13.21,12.5,14.13,13307200
1985-10,12.17,11,13,19180200
1985-11,12.83,11.38,13.94,19094600
1985-12,14.6,13.5,15.56,18101000
1986-01,14.1,13.19,14.88,14869600
1986-02,15.39,13.44,16.44,21612800
1986-03,15.16,14.06,16.75,13787400
1986-04,14.71,13.5,15.75,18287400
1986-05,13.41,12.19,14.56,15569000
1986-06,11.41,10,13.31,17810400
1986-07,8.21,7.06,10.31,23084800
1986-08,8.41,7.19,9.94,15832800
1986-09,8.88,7.63,10.19,17338600
1986-10,7.08,6.44,8.06,14083400
1986-11,7.84,7,8.25,10927000
1986-12,7.4,6.69,8.44,10165000
1987-01,8.32,6.75,9.38,26551600
1987-02,10.91,8.69,12.25,36902000
1987-03,10.35,9.38,11,21468600
1987-04,10.43,9.69,12.13,28259400
1987-05,10.77,10,11.94,20350400
1987-06,10.16,9.06,11.13,20074000
1987-07,8.99,8.38,9.63,19259200
1987-08,10.3,8.88,11.69,34374400
1987-09,10.57,9.69,11.5,19773000
1987-10,8.56,4.75,12.44,48820400
1987-11,5.11,4.38,5.63,18541400
1987-12,4.78,3.75,5.38,25248400
1988-01,4.91,4.44,5.63,16399600
1988-02,5.3,4.69,6.44,19525000
1988-03,6.08,5.38,6.94,20645000
1988-04,6.51,5.44,7.38,31181200
1988-05,7.21,6.56,7.69,25653400
1988-06,7.98,7.5,8.44,30227000
1988-07,7.3,6.25,8.38,22379200
1988-08,6.1,5.5,6.88,17445600
1988-09,5.59,4.5,5.88,19490800
1988-10,4.59,4.19,5.25,24482800
1988-11,3.99,3.56,4.56,15584000
1988-12,4.04,3.56,4.5,22491200
